id,name,description,address,locality,region,latitude,longitude,openingHours,access,wheelchair,babyChange,unisex,male,female,drinkingWater,fee,operator,source,sourceId,sourceIds,sourceUrl,confidence,lastVerified
osm-node-1941815304,Public toilet,,,,,-40.6627641,175.2509857,Unknown,unknown,,,,,,,,,OpenStreetMap,node/1941815304,node/1941815304,https://www.openstreetmap.org/node/1941815304,0.55,
osm-node-1948903943,Public toilet,,,,,-36.9410402,174.6363587,Unknown,unknown,,,,,,,,,OpenStreetMap,node/1948903943,node/1948903943,https://www.openstreetmap.org/node/1948903943,0.55,
osm-node-1975702578,Public toilet,,,,,-36.4138204,174.7287095,24/7,unknown,true,false,true,,,,false,,OpenStreetMap,node/1975702578,node/1975702578,https://www.openstreetmap.org/node/1975702578,0.73,2025-02-18
osm-node-1975702664,Public toilet,,,,,-36.420454,174.7233522,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/1975702664,node/1975702664,https://www.openstreetmap.org/node/1975702664,0.55,2025-02-20
osm-node-1975702667,Public toilet,,,,,-36.4208643,174.7301207,Unknown,public,true,,true,,,,false,,OpenStreetMap,node/1975702667,node/1975702667,https://www.openstreetmap.org/node/1975702667,0.7,2024-02-15
osm-node-1975703043,Public toilet,,,,,-36.4328111,174.7431792,Unknown,unknown,,,,,,,,,OpenStreetMap,node/1975703043,node/1975703043,https://www.openstreetmap.org/node/1975703043,0.55,
osm-node-1975719877,Public toilet,,,,,-36.3975109,174.6662324,Unknown,public,true,true,,true,true,,false,,OpenStreetMap,node/1975719877,node/1975719877,https://www.openstreetmap.org/node/1975719877,0.7,
osm-node-1977514035,Public toilet,,,,,-45.8676915,170.4895739,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/1977514035,node/1977514035,https://www.openstreetmap.org/node/1977514035,0.55,
osm-node-1985326802,Public toilet,,,,,-45.0205993,170.1394986,Unknown,unknown,false,,,,,,false,,OpenStreetMap,node/1985326802,node/1985326802,https://www.openstreetmap.org/node/1985326802,0.65,2025-01-18
osm-node-2031211198,Public toilet,,,,,-36.8602908,174.7744077,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2031211198,node/2031211198,https://www.openstreetmap.org/node/2031211198,0.65,
osm-node-2031422308,Public toilet,,,,,-36.8954474,174.7482142,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2031422308,node/2031422308,https://www.openstreetmap.org/node/2031422308,0.55,
osm-node-2055739122,Public toilet,,,,,-36.9214,174.8000668,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2055739122,node/2055739122,https://www.openstreetmap.org/node/2055739122,0.55,
osm-node-2057211510,Public toilet,,,,,-38.7706368,176.6530727,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2057211510,node/2057211510,https://www.openstreetmap.org/node/2057211510,0.55,
osm-node-2057211520,Public toilet,,,,,-38.721895,176.6804581,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2057211520,node/2057211520,https://www.openstreetmap.org/node/2057211520,0.55,
osm-node-2069607689,Public toilet,,,,,-36.8772863,174.6986124,Unknown,public,,,true,,,,false,,OpenStreetMap,node/2069607689,node/2069607689,https://www.openstreetmap.org/node/2069607689,0.6,
osm-node-2069607703,Public toilet,,,,,-36.8990802,174.8335533,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2069607703,node/2069607703,https://www.openstreetmap.org/node/2069607703,0.55,2025-11-25
